sample-id	developmental-stage	plant-species	plant-id	relative-position-s	lineage	date-frozen	date-pupated	date-eclosed	sex	notes
w3mp_5si48	5th-instar	incarnata	JI28	NA	TI11-WL1	06-27-2023	NA	NA	NA	
w3mp_5sc49	5th-instar	curassavica	JC21	NA	TI11-WL1	06-27-2023	NA	NA	NA	
w3mp_5sc50	5th-instar	curassavica	JC23	NA	TI11-WL1	06-27-2023	NA	NA	NA	
w3mp_Msi51	middle-pupa	incarnata	JI5	either	KLb5-TI10	06-30-2023	06-25-2023	NA	NA	
w3mp_Msi52	middle-pupa	incarnata	JI17	either	KLb5-TI10	06-30-2023	06-25-2023	NA	NA	
w3mp_Msi53	middle-pupa	incarnata	JI26	rightmost	KLb5-TI10	06-30-2023	06-25-2023	NA	NA	
w3mp_Msc54	middle-pupa	curassavica	JC29	any	IJ8-RB7	07-01-2023	06-26-2023	NA	NA	
w3mp_Msc55	middle-pupa	curassavica	JC4	either	IJ8-RB7	07-01-2023	06-26-2023	NA	NA	
w3mp_Msc56	middle-pupa	curassavica	JC3	rightmost-or-leftmost	IJ8-RB7	07-01-2023	06-26-2023	NA	NA	
w3mp_Msi57	middle-pupa	incarnata	JI23	either	IJ8-RB7	07-01-2023	06-26-2023	NA	NA	
w3mp_Msc58	middle-pupa	curassavica	JC19	only	KLb5-TI10	07-02-2023	06-27-2023	NA	NA	
w3mp_Msc59	middle-pupa	curassavica	JC3	middle	IJ8-RB7	07-02-2023	06-27-2023	NA	NA	
w3mp_Msi60	middle-pupa	incarnata	JI12	either	IJ8-RB7	07-02-2023	06-27-2023	NA	NA	
w3mp_Msi61	middle-pupa	incarnata	JI20	on stem	IJ8-RB7	07-02-2023	06-27-2023	NA	NA	
w3mp_Msi62	middle-pupa	incarnata	JI16	either	IJ8-RB7	07-02-2023	06-27-2023	NA	NA	
w3mp_Lsi63	late-pupa	incarnata	JI20	left	IJ8-RB7	07-02-2023	06-24-2023	NA	NA	
w3mp_Lsi64	late-pupa	incarnata	JI25	right	KLb5-TI10	07-02-2023	06-24-2023	NA	NA	
w3mp_Asi65	adult	incarnata	JI11	left	KLb5-TI10	07-02-2023	06-24-2023	07-02-2023	female	
w3mp_Asi66	adult	incarnata	JI6	left	KLb5-TI10	07-03-2023	06-24-2023	07-03-2023	female	
w3mp_Asi67	adult	incarnata	JI25	left	KLb5-TI10	07-03-2023	06-24-2023	07-03-2023		
w3mp_Asi68	adult	incarnata	JI2	NA	KLb5-TI10	NA	06-24-2023	07-03-2023		
w3mp_Asi69	adult	incarnata	JI10	NA	KLb5-TI10	NA	06-24-2023	07-03-2023		
w3mp_Asi70	adult	incarnata	JI15	NA	KLb5-TI10	NA	06-24-2023	07-03-2023		
w3mp_Asi71	adult	incarnata	JI21	left	KLb5-TI10	NA	06-24-2023	07-03-2023		
w3mp_Asc72	adult	curassavica	JC29		IJ8-RB7	NA	06-26-2023	07-04-2023		
w3mp_Asc73	adult	curassavica	JC22		IJ8-RB7	NA	06-26-2023	07-04-2023		
w3mp_Asc74	adult	curassavica	JC15		IJ8-RB7	NA	06-26-2023	07-04-2023		
w3mp_Asc75	adult	curassavica	JC17		IJ8-RB7	NA	06-26-2023	07-04-2023		
